Doctor_English,Patient_Yoruba,Clinical_Translation_English,Direct_Translation_English
"Do you have a sore throat, and is it painful to swallow?","Ọ̀nà ọ̀fun mi dùn mí, ó sì máa ń ta mí nígbà tí mo bá ń gbé omi tàbí oúnjẹ mì.","My throat is sore, and it stings when I swallow water or food.","My throat is paining me, and it always stings me when I swallow water or food."
Are you experiencing any pain during urination?,"Bẹ́ẹ̀ni, ó máa ń jọ mí nígbà tí mo bá ń tọ̀ síta.","Yes, it usually burns me when I urinate.","Yes, it usually burns me when I am urinating outside."
Are you having any pain or burning when you urinate?,"Bẹ́ẹ̀ni, ó máa ń ta mí, mo sì máa ń lọ pẹ́kí pẹ́kí.","Yes, it stings me, and I go frequently.","Yes, it usually stings me, I and usually go frequently frequently."
"How severe is the pain on a scale of 1 to 10, with 10 being the worst?","Ó tó méje sí mẹ́jọ, Kọ́ńsólà, ó sì máa ń lé gan-an ní alẹ́.","It's about seven to eight, Doctor, and it gets very intense at night.","It is about seven to eight, Doctor, it also usually is intense very-very at night."
How long have you been experiencing this chronic pain?,"Ó ti ju ọdún méjì lọ báyìí, kò sì tíì yanjú rárá, Dokita.","It's been more than two years now, and it hasn't resolved at all, Doctor.","It has passed year two gone now, it also has not yet resolved at all, Doctor."
"Are you experiencing any shortness of breath, especially when walking?","Bẹ́ẹ̀ ni, Dókítà. Èémí mi ń kùn, mo sì máa ń rí i pé kò tó mí láyé.","Yes, Doctor. I'm short of breath, and I feel I don't have enough air.","Yes, Doctor. Breath my is complaining, I also usually see that not enough me in world."
Is there any family history of heart disease?,"Bẹ́ẹ̀ni, bàbá mi kú nípasẹ̀ àrùn ọkàn, ìyá mi sì tún ní ẹ̀jẹ̀ ríru.","Yes, my father died from heart disease, and my mother also has high blood pressure.","Yes, father my died through sickness heart, mother my also again has blood high."
"Are you experiencing any other symptoms, like a cough?","Bẹ́ẹ̀ni, mo ń hó yẹpẹrẹ, ó sì ń yọ mí lẹ́nu ní alẹ́ gan-an.","Yes, I have a dry cough, and it really bothers me at night.","Yes, I am coughing dry, it also is bothering me in night very much."
Are you having trouble sleeping at night?,"Bẹ́ẹ̀ni, ó máa ń le fún mi láti sùn. Mo sì máa ń ji lálẹ́ púpọ̀.","Yes, I find it hard to sleep. And I wake up many times at night.","Yes, it usually is hard for me to sleep. I also usually wake up at night many."
How is your appetite? Are you eating well?,"Kò fi bẹ́ẹ̀ sí ìfẹ́ sí oúnjẹ rárá, gbogbo ohun tí mo bá jẹ kò sì dúró nínú mi.","I don't have much appetite at all, and everything I eat doesn't stay in me.","Not with that much is desire for food at all, every thing that I eat not also stays inside me."
It seems you have typhoid fever. We'll start treatment immediately.,"Oh, èmi náà ti fura. Ṣé yóò pẹ́ kí n tó rí ìwòsàn?","Oh, I suspected that too. How long until I see improvement?","Oh, I too have suspected. Is it it will be long before I see healing?"
We need to perform a small procedure. Do you consent?,"Bẹ́ẹ̀ ni, Dókítà. Mo gbà láti ṣe é, ṣùgbọ́n mo bẹ̀ yín pé kí ẹ rọra.","Yes, Doctor. I agree to have it done, but I plead with you to be gentle.","Yes, Doctor. I agree to do it, but I beg you that you be gentle."
Are you taking any medications for depression or anxiety?,"Rárá, mi ò gbójúlé oògùn kankan fún irú àwọn nǹkan bẹ́ẹ̀.","No, I don't rely on any medication for such things.","No, I not rely on medicine any for such things like that."
Is there any history of heart disease in your family?,"Bẹ́ẹ̀ni, bàbá mi kú pẹ̀lú àìsàn ọkàn, ìyá mi sì ní ẹ̀jẹ̀ ríru.","Yes, my father died of heart disease, and my mother has high blood pressure.","Yes, my father died with sickness heart, my mother also has blood high."
Good morning. What brings you to the clinic today?,"Ẹ káàárọ̀, dókítà. Òrí mi ńrò mí ní títí láti àná, ara mi sì gbóná.","Good morning, doctor. I've had a persistent headache since yesterday, and I have a fever.","Good morning, doctor. My head is paining me continuously since yesterday, and my body is hot."
Have you taken any over-the-counter medications?,"Bẹ́ẹ̀ni, mo ti mu 'paracetamol' láti dín ibà náà kù, ṣùgbọ́n kò ràn mí lọ́wọ́ púpọ̀.","Yes, I've taken paracetamol to reduce the fever, but it didn't help me much.","Yes, I have taken 'paracetamol' to reduce fever that, but not helped me much."
Are you feeling nauseous?,"Bẹ́ẹ̀ni, Dókítà. Inú mi ń rù mí, mo sì fẹ́ bí sùgbọ́n mi ò lè bí.","Yes, Doctor. I feel nauseous, and I feel like vomiting but I can't.","Yes, Doctor. My stomach is churning me, and I want to vomit but I cannot vomit."
Are you experiencing any numbness or tingling in your limbs?,"Ẹsẹ̀ mi ò ní ìmọ̀lára mọ́, apá mi òsì sì ń gbóná pẹ̀lú.","My leg has no feeling anymore, and my left arm is also burning.","Leg my not have feeling anymore, arm my left also is burning with."
Do you feel dizzy or lightheaded?,"Bẹ́ẹ̀ni, orí mi ń fìyẹ́, mo sì rò pé mo fẹ́ kán lulẹ̀.","Yes, my head feels light, and I feel like I'm about to collapse.","Yes, my head is fluttering, I also thought I wanted to fall down."
Do you have any chills or sweating?,"Àìsàn ibà wọ̀ mí lára, mo sì ń gbọ̀n pẹ̀lú òtútù.",I have malaria symptoms; I'm shivering with cold.,"Illness malaria entered me on body, I also am shivering with cold."
Can you describe the chest pain? Does it spread anywhere else?,"Ó ń dun mí láyà, ó sì ń tàn dé apá òsì mi àti ẹ̀hìn.","It hurts in my chest, and it spreads to my left arm and back.","It is painful me in chest, it also spreads to arm left my and back."
Have you experienced any chest pain radiating to your arm or jaw?,"Bẹ́ẹ̀ni, ó máa ń ro mi láyà, ó sì máa ń lọ sí apá òsì mi pẹ̀lú.","Yes, I usually feel pain in my chest, and it also radiates to my left arm.","Yes, it always aches me in chest, it also always goes to arm left my also."
Has your child had all their immunizations?,"Bẹ́ẹ̀ ni, Dókítà. Mo ti mú un lọ sí gbogbo àjẹsára tí wọ́n sọ fún wa.","Yes, Doctor. I have taken him for all the immunizations they recommended for us.","Yes, Doctor. I have taken him go to all immunizations that they told for us."
Is the pain in your tooth constant or does it come and go?,"Ó ti ń dùn mí nígbà gbogbo, kò sì jẹ́ kí n jẹun dáradára.","It has been hurting me constantly, and it doesn't let me eat properly.","It has been hurting me time all, not and let that I eat well."
Is there any history of asthma in your family?,"Bẹ́ẹ̀ni, àbúrò mi ní àrùn ikọ́ fée nígbà kan.","Yes, my younger sibling used to have asthma.","Yes, sibling my younger has sickness cough asthma at time one."
Have you noticed any swelling in your legs or ankles?,"Bẹ́ẹ̀ni, ẹsẹ̀ mi méjèèjì ti wú díẹ̀, ó sì máa ń wú púpọ̀ nígbà mìíràn.","Yes, both my legs have swelled a little, and sometimes they swell a lot.","Yes, leg my both have swelled a little, it and usually swells much sometimes."
Have you ever been diagnosed with malaria or typhoid before?,"Òun ni ó máa ń pẹ̀tù sí mi nígbà gbogbo, mo sì ti kúkú mú òògùn fún wọn lẹ́ẹ̀kan ṣoṣo.","That is what often bothers me, and I have actually taken medication for them only once.","It is what usually bothers me always, I also have actually taken medicine for them once only."
Do you understand the risks and benefits of the procedure?,"Bẹ́ẹ̀ ni, mo lóye gbogbo ohun tí ẹ sọ fún mi nípa rẹ̀.","Yes, I understand everything you've told me about it.","Yes, I understand all thing that you said for me about it."
Is your child up to date on their vaccinations?,"Bẹ́ẹ̀ni, mo ti mú gbogbo àwọn àjẹsára rẹ̀ wá gẹ́gẹ́ bí wọ́n ṣe sọ fún mi nígbà ìgbẹ̀yẹ́wò tó kọjá.","Yes, I've brought all his vaccinations up to date as I was advised during the last check-up.","Yes, I have brought all the vaccinations his come according to how they said to me during check-up the last."
How many times a day are you vomiting?,"Mò ti bì lẹ́ẹ̀mẹta tàbí lẹ́ẹ̀mẹrin lónìí, ó sì ń jẹ́ kí n rẹ̀wẹ̀sì gan-an.","I've vomited three or four times today, and it's making me very tired.","I have vomited times three or times four today, it also is making that I get tired very much."
Are you experiencing any numbness or tingling in your limbs?,"Bẹ́ẹ̀ni, àwọn ẹsẹ̀ mi máa ń rọ́kú, ó sì máa ń tààmù bíi pé iná ń kọjá lára rẹ̀.","Yes, my legs go numb, and I experience a tingling sensation as if electricity is passing through them.","Yes, legs my usually go numb, it also usually tingles like that fire is passing on body it."
"Which joints are affected, and is the pain worse in the morning?","Ọ̀gọ́ọ̀rọ̀ mi àti orúnkún mi ni, ó sì burú jáì ní òwúrọ̀.","It's my elbows and my knees, and it's much worse in the morning.","Elbows my and knees my it is, it and is bad terribly in morning."
"It's important to drink plenty of fluids, especially with a fever.","Ó dára, Dókítà. Mo máa mu omi púpọ̀ síi. Ṣé mo gbọ́dọ̀ mu omi gbígbóná ni?","Okay, Doctor. I will drink more water. Should I drink warm water?","It is good, Doctor. I will drink water much more. Should I must drink water hot is?"
How often do you check your blood sugar levels?,Lẹ́ẹ̀kan lọ́jọ́ tàbí lẹ́ẹ̀mejì. Kò sí ẹni tó máa ń ràn mí lọ́wọ́ púpọ̀.,Once a day or twice. There's no one who helps me much.,Once a day or twice. There is no person who usually helps me much.
How long have you been feeling generally weak?,"Mo ti ń ṣe àìlera fún ọ̀sẹ̀ méjì báyìí, kò sì sí agbára nínú ara mi rárá.","I've been feeling weak for two weeks now, and there's no strength in my body at all.","I have been doing weakness for week two now, no strength inside body my at all."
Is there any pain when you move your neck?,"Bẹ́ẹ̀ni, ọrùn mi ń dun mí díẹ̀ nígbà tí mo bá gbìyànjú láti yí i sí ẹ̀gbẹ́.","Yes, my neck hurts a bit when I try to turn it to the side.","Yes, neck my is paining me a little when I try to turn it to side."
I see some swelling on your ankle. How long has that been there?,"Ó ti tó ọ̀sẹ̀ méjì báyìí, ó sì ń múra láti pọ̀ sí i láti ọjọ́ kọ̀ọ̀kan.","It's been about two weeks now, and it's getting worse day by day.","It has been about week two now, it also is preparing to increase it from day each."
How long have you been experiencing this headache?,"Ó ti fẹ́rẹ̀ẹ́ tó ọjọ́ mẹ́ta báyìí, kò sì fẹ́ lọ rárá.","It's been almost three days now, and it doesn't want to go away at all.","It has almost reached day three now, it also not want to go at all."
"On a scale of 1 to 10, with 10 being the worst, how would you rate your pain?","Ó lé ní 8 lórí 10, Dókítà. Kò jẹ́ kí n sùn ní òru.","It's above 8 out of 10, Doctor. It didn't let me sleep at night.","It exceeds in 8 on 10, Doctor. It not allow me sleep in night."
Are you experiencing any side effects from the new medication?,"Bẹ́ẹ̀ni, ojú ń kù mí, mo sì máa ń gbóná lára díẹ̀.","Yes, I feel dizzy, and I sometimes feel a bit hot.","Yes, eye is spinning me, I also usually feel-hot in-body a-little."
Have you experienced any weakness in your limbs?,"Bẹ́ẹ̀ni, Dókítà. Apá àti ẹsẹ̀ mi máa ń rẹ̀ mí gan-an, mi ò sì lè fi iṣẹ́ ṣe tó tẹ́lẹ̀.","Yes, Doctor. My arms and legs get very tired, and I can't do as much work as before.","Yes, Doctor. Arm and leg my usually tired me very-very, I not also can use work do that before."
Where exactly do you feel the pain?,"Ìrora náà wà ní inú mi, ó sì ń dun mí gidigidi bíi pé wọ́n ń gun mi ni.","The pain is in my abdomen, and it's severely sharp, like a pounding sensation.","Pain the is at inside my, it also is hurting me very much like that they are pounding me is."
"Diabetes is a chronic condition, but with proper management, you can live a healthy life.",Mo gbọ́. Ẹ ṣeun fún ìwéwèé yín.,I understand. Thank you for your plan.,I hear. Thank you for plan your.
We need to do an ultrasound of your abdomen to check your organs.,Ṣé kò ní fún mi ní ìṣòro nípa ti kòkòrò?,Will it not give me problems with infection?,Will it not give me problem in terms of germ?
We need your consent for this minor surgical procedure. Do you understand what we're going to do?,"Bẹ́ẹ̀ni, mo gbọ́ pé ẹ ó fẹ́ yọ nǹkan kékeré kan tó yọ níbi ara mi kúrò, ṣé kò sí ewu kankan?","Yes, I understand that you want to remove a small growth on my body, are there any risks?","Yes, I hear that you will want to remove thing small one that appeared in place body my out, is there not risk any?"
How high is your child's fever?,"Ara rẹ̀ gbóná jù lọ, ó sì máa ń yán ni lára tí o bá fi ọwọ́ kan án.","His body is extremely hot, and it feels burning to the touch.","His body is very hot most, and it always burns one's body if you touch it."
